t,x
5.9027384368, -0.8812262891
5.9036809146, -0.8823013549
5.9046233924, -0.8833767499
5.9055658702, -0.8844524731
5.9065083480, -0.8855285238
5.9074508258, -0.8866049012
5.9083933036, -0.8876816047
5.9093357814, -0.8887586332
5.9102782592, -0.8898359862
5.9112207370, -0.8909136628
5.9121632148, -0.8919916622
5.9131056926, -0.8930699837
5.9140481704, -0.8941486265
5.9149906482, -0.8952275897
5.9159331260, -0.8963068727
5.9168756038, -0.8973864746
5.9178180816, -0.8984663947
5.9187605594, -0.8995466321
5.9197030372, -0.9006271861
5.9206455150, -0.9017080559
5.9215879928, -0.9027892408
5.9225304705, -0.9038707399
5.9234729483, -0.9049525524
5.9244154261, -0.9060346776
5.9253579039, -0.9071171147
5.9263003817, -0.9081998629
5.9272428595, -0.9092829215
5.9281853373, -0.9103662896
5.9291278151, -0.9114499664
5.9300702929, -0.9125339512
5.9310127707, -0.9136182431
5.9319552485, -0.9147028415
5.9328977263, -0.9157877455
5.9338402041, -0.9168729543
5.9347826819, -0.9179584671
5.9357251597, -0.9190442832
5.9366676375, -0.9201304017
5.9376101153, -0.9212168220
5.9385525931, -0.9223035431
5.9394950709, -0.9233905643
5.9404375487, -0.9244778848
5.9413800265, -0.9255655039
5.9423225043, -0.9266534207
5.9432649821, -0.9277416344
5.9442074599, -0.9288301443
5.9451499377, -0.9299189496
5.9460924154, -0.9310080494
5.9470348932, -0.9320974431
5.9479773710, -0.9331871297
5.9489198488, -0.9342771085
5.9498623266, -0.9353673788
5.9508048044, -0.9364579397
5.9517472822, -0.9375487904
5.9526897600, -0.9386399302
5.9536322378, -0.9397313582
5.9545747156, -0.9408230737
5.9555171934, -0.9419150758
5.9564596712, -0.9430073638
5.9574021490, -0.9440999369
5.9583446268, -0.9451927943
5.9592871046, -0.9462859352
5.9602295824, -0.9473793588
5.9611720602, -0.9484730643
5.9621145380, -0.9495670509
5.9630570158, -0.9506613179
5.9639994936, -0.9517558643
5.9649419714, -0.9528506895
5.9658844492, -0.9539457926
5.9668269270, -0.9550411729
5.9677694048, -0.9561368295
5.9687118826, -0.9572327617
5.9696543604, -0.9583289686
5.9705968381, -0.9594254495
5.9715393159, -0.9605222036
5.9724817937, -0.9616192300
5.9734242715, -0.9627165279
5.9743667493, -0.9638140967
5.9753092271, -0.9649119354
5.9762517049, -0.9660100433
5.9771941827, -0.9671084196
5.9781366605, -0.9682070634
5.9790791383, -0.9693059741
5.9800216161, -0.9704051507
5.9809640939, -0.9715045925
5.9819065717, -0.9726042987
